구,업종,수
영등포구,종합소매점,1332
동작구,종합소매점,564
관악구,종합소매점,837
서초구,종합소매점,1427
강남구,종합소매점,1642
송파구,종합소매점,1598
강동구,종합소매점,701
종로구,중고품소매/교환,11
중구,중고품소매/교환,12
용산구,중고품소매/교환,12
성동구,중고품소매/교환,9
광진구,중고품소매/교환,25
동대문구,중고품소매/교환,26
중랑구,중고품소매/교환,13
성북구,중고품소매/교환,18
강북구,중고품소매/교환,7
도봉구,중고품소매/교환,13
노원구,중고품소매/교환,10
은평구,중고품소매/교환,19
서대문구,중고품소매/교환,4
마포구,중고품소매/교환,13
양천구,중고품소매/교환,15
강서구,중고품소매/교환,19
구로구,중고품소매/교환,24
금천구,중고품소매/교환,19
영등포구,중고품소매/교환,22
동작구,중고품소매/교환,7
관악구,중고품소매/교환,19
서초구,중고품소매/교환,21
강남구,중고품소매/교환,48
송파구,중고품소매/교환,25
강동구,중고품소매/교환,13
종로구,의복의류,1037
중구,의복의류,2791
용산구,의복의류,539
성동구,의복의류,287
광진구,의복의류,931
동대문구,의복의류,848
중랑구,의복의류,428
성북구,의복의류,524
강북구,의복의류,286
도봉구,의복의류,320
노원구,의복의류,471
은평구,의복의류,482
서대문구,의복의류,471
마포구,의복의류,374
양천구,의복의류,406
강서구,의복의류,699
구로구,의복의류,410
금천구,의복의류,615
영등포구,의복의류,790
동작구,의복의류,243
관악구,의복의류,492
서초구,의복의류,889
강남구,의복의류,1841
송파구,의복의류,652
강동구,의복의류,678
종로구,기타판매업,81
중구,기타판매업,115
용산구,기타판매업,70
성동구,기타판매업,49
광진구,기타판매업,125
동대문구,기타판매업,72
중랑구,기타판매업,64
성북구,기타판매업,77
강북구,기타판매업,41
도봉구,기타판매업,41
노원구,기타판매업,40
은평구,기타판매업,51
서대문구,기타판매업,37
마포구,기타판매업,52
양천구,기타판매업,21
강서구,기타판매업,59
구로구,기타판매업,65
금천구,기타판매업,68
영등포구,기타판매업,107
동작구,기타판매업,30
관악구,기타판매업,62
서초구,기타판매업,92
강남구,기타판매업,240
송파구,기타판매업,54
강동구,기타판매업,64
종로구,음/식료품소매,215
중구,음/식료품소매,406
용산구,음/식료품소매,217
성동구,음/식료품소매,350
광진구,음/식료품소매,470
동대문구,음/식료품소매,731
중랑구,음/식료품소매,332
성북구,음/식료품소매,352
강북구,음/식료품소매,331
도봉구,음/식료품소매,294
노원구,음/식료품소매,329
은평구,음/식료품소매,357
서대문구,음/식료품소매,212
마포구,음/식료품소매,269
양천구,음/식료품소매,269
강서구,음/식료품소매,344
구로구,음/식료품소매,305
금천구,음/식료품소매,374
영등포구,음/식료품소매,538
동작구,음/식료품소매,231
관악구,음/식료품소매,366
서초구,음/식료품소매,280
강남구,음/식료품소매,489
송파구,음/식료품소매,476
강동구,음/식료품소매,355
종로구,가정/주방/인테리어,415
중구,가정/주방/인테리어,480
용산구,가정/주방/인테리어,248
성동구,가정/주방/인테리어,199
광진구,가정/주방/인테리어,415
동대문구,가정/주방/인테리어,313
